"","part_id","hh_id","part_age","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","country","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","sday_id","type","day","month","year","dayofweek","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","hh_type","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age_group"
"434",5313,"Mo08HH5313",54,"F",1,2,NA,NA,NA,"UK","",NA,NA,"","",NA,4,2,4,"United Kingdom",2,54,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75564,NA,45,50,"F",0,1,0,0,0,0,5,2,1,"Two or more person household",29,0,29,0,0,0,0,1,28,"45-64"
"435",5314,"Mo08HH5314",61,"M",NA,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,61,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75593,NA,55,60,"M",0,1,0,0,0,0,5,1,2,"Two or more person household",17,1,14,0,0,0,2,NA,NA,"45-64"
"436",5315,"Mo08HH5315",50,"M",1,2,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060428,1,28,4,2006,5,75610,NA,60,75,"F",0,1,0,0,0,0,2,2,1,"Single person household",17,9,7,0,0,1,0,2,15,"45-64"
"437",5316,"Mo08HH5316",68,"F",3,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,68,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,75627,14,NA,NA,"F",1,0,1,0,0,0,2,2,3,"Two or more person household",8,6,2,1,0,0,0,NA,NA,"65 and over"
"438",5317,"Mo08HH5317",69,"M",3,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",2,68,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,75635,NA,30,40,"M",1,0,0,0,0,0,4,2,3,"Two or more person household",11,7,0,0,4,0,4,NA,NA,"65 and over"
"439",5318,"Mo08HH5318",39,"F",1,2,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,41,39,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,75646,41,NA,NA,"M",1,0,0,0,0,0,1,1,5,"Two or more person household",3,3,0,0,0,0,0,3,0,"25-44"
"440",5319,"Mo08HH5319",45,"M",1,2,4,13,NA,"UK","",NA,NA,"","",NA,3,3,2,"United Kingdom",4,45,38,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,75649,38,NA,NA,"F",1,0,0,0,0,0,1,1,3,"Two or more person household",5,4,0,0,0,3,0,5,0,"45-64"
"441",5320,"Mo08HH5320",28,"F",6,NA,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",4,25,28,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,75654,58,NA,NA,"F",1,0,0,0,0,0,1,1,5,"Two or more person household",4,4,0,0,0,0,0,2,2,"25-44"
"442",5321,"Mo08HH5321",39,"M",1,3,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,39,36,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,75658,90,NA,NA,"F",1,0,0,0,0,0,4,2,1,"Two or more person household",18,13,5,0,0,0,0,NA,NA,"25-44"
"443",5322,"Mo08HH5322",58,"F",1,3,4,13,NA,"UK","",NA,NA,"","",NA,1,1,1,"United Kingdom",3,21,23,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20060429,1,29,4,2006,6,75676,23,NA,NA,"F",1,0,0,0,0,1,1,2,3,"Two or more person household",9,4,0,0,0,6,3,5,4,"45-64"
