"","hh_id","part_id","panel_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","frequency_multi","phys_contact","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","duration_multi","month","year","sday_id","dayofweek","day","wave","contacts","home","work","school","transport","leisure","otherplace","physical_contact","non_physical_contact","part_age","part_gender","part_age_group","hh_type"
"29","HHA1_10038","A1_10038",10038,"A1_10038_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,4,4,0,0,0,0,0,3,1,46,"F","45-64",1
"30","HHA1_10039","A1_10039",10039,"A1_10039_001",NA,70,74,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,4,3,0,0,0,0,2,0,4,55,"F","45-64",1
"31","HHA1_10040","A1_10040",10040,"A1_10040_001",NA,45,54,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,5,5,0,0,0,0,0,0,5,48,"F","45-64",1
"32","HHA1_10041","A1_10041",10041,"A1_10041_001",NA,55,64,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,3,1,0,0,0,0,2,1,2,61,"F","45-64",1
"33","HHA1_10042","A1_10042",10042,"A1_10042_001",NA,70,74,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,74,"M","65 and over",1
"34","HHA1_10044","A1_10044",10044,"A1_10044_001",NA,70,74,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,71,"F","65 and over",1
"35","HHA1_10045","A1_10045",10045,"A1_10045_001",NA,75,79,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,77,"F","65 and over",1
"36","HHA1_10046","A1_10046",10046,"A1_10046_001",NA,55,64,"F",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,2,1,0,0,0,0,1,0,2,68,"M","65 and over",1
"37","HHA1_10048","A1_10048",10048,"A1_10048_001",NA,55,64,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,1,0,56,"F","45-64",1
"38","HHA1_10049","A1_10049",10049,"A1_10049_001",NA,70,74,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,65,"F","65 and over",1
"39","HHA1_10050","A1_10050",10050,"A1_10050_001",NA,25,34,"M",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,0,1,72,"F","65 and over",0
"40","HHA1_10051","A1_10051",10051,"A1_10051_001",NA,70,74,"M",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,0,1,72,"M","65 and over",1
"41","HHA1_10052","A1_10052",10052,"A1_10052_001",NA,70,74,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,2,0,70,"F","65 and over",1
"42","HHA1_10053","A1_10053",10053,"A1_10053_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,12,3,8,0,0,0,1,3,9,49,"M","45-64",1
"43","HHA1_10054","A1_10054",10054,"A1_10054_001",NA,70,74,"F",4,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,1,0,70,"M","65 and over",1
"44","HHA1_10055","A1_10055",10055,"A1_10055_001",NA,45,54,"M",2,2,0,0,0,0,0,1,2,3,2020,"2020.03.24",2,24,1,1,0,0,0,0,0,1,0,1,63,"F","45-64",0
"45","HHA1_10056","A1_10056",10056,"A1_10056_001",NA,45,54,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,3,3,0,0,0,0,0,1,2,50,"F","45-64",1
"46","HHA1_10059","A1_10059",10059,"A1_10059_001",NA,85,120,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,61,"M","45-64",1
"47","HHA1_10060","A1_10060",10060,"A1_10060_001",NA,55,64,"F",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.23",1,23,1,6,3,2,0,0,0,1,0,6,64,"M","45-64",1
"48","HHA1_10061","A1_10061",10061,"A1_10061_001",NA,65,69,"F",1,2,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,1,1,65,"F","65 and over",1
"49","HHA1_10062","A1_10062",10062,"A1_10062_001",NA,70,74,"M",1,2,1,0,0,0,0,0,4,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,0,2,39,"F","25-44",1
"50","HHA1_10064","A1_10064",10064,"A1_10064_001",NA,70,74,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,1,1,0,0,0,0,0,1,0,63,"F","45-64",1
"51","HHA1_10065","A1_10065",10065,"A1_10065_001",NA,55,64,"M",5,2,0,0,0,0,0,1,1,3,2020,"2020.03.24",2,24,1,3,0,0,0,0,0,3,0,3,62,"M","45-64",1
"52","HHA1_10066","A1_10066",10066,"A1_10066_001",NA,55,64,"F",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.24",2,24,1,2,2,0,0,0,0,0,1,1,61,"M","45-64",1
"53","HHA1_10067","A1_10067",10067,"A1_10067_001",NA,55,64,"F",2,2,0,0,0,0,0,1,1,3,2020,"2020.03.24",2,24,1,1,0,0,0,0,0,1,0,1,61,"F","45-64",0
"54","HHA1_10068","A1_10068",10068,"A1_10068_001",NA,65,69,"M",1,1,1,0,0,0,0,0,5,3,2020,"2020.03.23",1,23,1,1,1,0,0,0,0,0,1,0,67,"F","65 and over",1
